epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,2117.24,1.95395,0.36119,0.59708,0.96194,0.00291,0.00879,0.83891,0.62389,0.69465,0.37535,0,0,0,0,1.8189,0,4.23824,0.88496,0.00384,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2205.46,1.979,0.37199,0.60562,0.96399,0.00287,0.01834,0.84858,0.62381,0.69705,0.37971,0,0,0,0,1.80646,0,3.86271,0.86743,0.00379,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2293.16,1.97449,0.35741,0.60012,0.96868,0.00291,0.01815,0.84825,0.61872,0.69437,0.37801,0,0,0,0,1.80943,0,3.82376,0.88014,0.00379,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2381.93,1.95522,0.35619,0.5918,0.95408,0.00291,0,0.84369,0.6228,0.69601,0.37739,0,0,0,0,1.81201,0,4.68032,0.87489,0.00382,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2469.26,1.94509,0.34168,0.59352,0.94828,0.00291,0.00662,0.84552,0.62875,0.69904,0.38011,0,0,0,0,1.80305,0,3.99556,0.8665,0.00378,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2561.99,1.94872,0.35772,0.58174,0.93558,0.00282,0.01609,0.84834,0.62978,0.70226,0.38047,0,0,0,0,1.80607,0,4.61828,0.85995,0.00378,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2651.06,1.96108,0.33332,0.58015,0.94014,0.00283,0.00048,0.84657,0.62492,0.6985,0.38119,0,0,0,0,1.8004,0,4.60908,0.87314,0.00378,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2740.17,1.95674,0.34536,0.57485,0.93715,0.00281,0.00326,0.85019,0.63358,0.70746,0.38331,0,0,0,0,1.80216,0,4.88286,0.85344,0.00375,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2831.8,1.93533,0.33933,0.5732,0.92772,0.00281,0.00074,0.84901,0.63627,0.70906,0.38573,0,0,0,0,1.79416,0,4.91318,0.84936,0.00374,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2923.54,1.93075,0.33337,0.54694,0.93563,0.00284,0.00766,0.85102,0.63677,0.70876,0.38737,0,0,0,0,1.78212,0,4.57802,0.84978,0.00373,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3011.5,1.9237,0.33634,0.55739,0.92905,0.00281,0,0.851,0.63534,0.71041,0.3886,0,0,0,0,1.78024,0,4.76661,0.84993,0.00369,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3100.22,1.92977,0.32901,0.5407,0.91955,0.00281,0.00089,0.85657,0.63576,0.71179,0.38732,0,0,0,0,1.78951,0,4.93979,0.83282,0.00375,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3189.15,1.92777,0.33289,0.54457,0.91238,0.00278,0.00304,0.85849,0.63699,0.71389,0.39014,0,0,0,0,1.77849,0,4.94994,0.84226,0.0037,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3276.13,1.91632,0.33263,0.54833,0.91525,0.00279,0.00328,0.84962,0.64755,0.71562,0.38974,0,0,0,0,1.78282,0,5.11977,0.8366,0.00372,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3363.33,1.91176,0.32932,0.5386,0.90356,0.00275,0.00338,0.85341,0.64252,0.71454,0.39166,0,0,0,0,1.78049,0,4.7068,0.83016,0.00371,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3451.23,1.901,0.31857,0.54571,0.90201,0.00276,0,0.85461,0.64587,0.71765,0.39292,0,0,0,0,1.7732,0,5.23154,0.82865,0.00369,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3538.35,1.89559,0.3161,0.5234,0.89822,0.00274,0.00165,0.85389,0.64706,0.71775,0.39296,0,0,0,0,1.7758,0,5.02291,0.83393,0.0037,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3625.74,1.88858,0.31751,0.52416,0.88717,0.00272,0.00575,0.85622,0.64882,0.71983,0.3943,0,0,0,0,1.77221,0,5.06403,0.82718,0.00368,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3714.45,1.90966,0.31516,0.51943,0.8944,0.00268,0.00039,0.85979,0.64635,0.72053,0.39421,0,0,0,0,1.77233,0,5.3402,0.82651,0.00367,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3802.86,1.89743,0.31238,0.50387,0.89301,0.00271,0.00132,0.85888,0.64937,0.72013,0.39527,0,0,0,0,1.77144,0,5.27903,0.82335,0.00368,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3890.11,1.87057,0.32467,0.5096,0.87835,0.0027,0.00088,0.8576,0.65041,0.7223,0.39507,0,0,0,0,1.775,0,5.39619,0.81811,0.00368,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3978.12,1.87992,0.3158,0.4987,0.88265,0.00268,0.00127,0.85513,0.65069,0.72273,0.3964,0,0,0,0,1.76437,0,5.57767,0.8271,0.00366,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4066.38,1.88658,0.31123,0.4942,0.88329,0.00267,0,0.85855,0.65199,0.72536,0.39773,0,0,0,0,1.76305,0,5.49975,0.82387,0.00365,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4155,1.87785,0.30261,0.49662,0.88111,0.00266,0.00203,0.86271,0.65141,0.72517,0.39787,0,0,0,0,1.76687,0,5.44478,0.8248,0.00367,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4243.64,1.86223,0.30779,0.49183,0.86773,0.00266,0,0.86606,0.65106,0.7258,0.39831,0,0,0,0,1.76125,0,5.55275,0.82374,0.00365,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4332.92,1.87171,0.30784,0.49149,0.87503,0.00264,0,0.86652,0.65103,0.72574,0.3977,0,0,0,0,1.76273,0,5.73965,0.82218,0.00367,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4420.87,1.85776,0.29179,0.47361,0.86488,0.00263,0.00144,0.8548,0.65695,0.72642,0.39971,0,0,0,0,1.75688,0,5.71044,0.82458,0.00364,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4509.42,1.86385,0.29364,0.48658,0.87462,0.00258,0.00111,0.85614,0.65635,0.72692,0.39977,0,0,0,0,1.75563,0,5.74662,0.82544,0.00364,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4596.62,1.84845,0.29822,0.46972,0.86233,0.00261,0.00309,0.85913,0.65841,0.728,0.39988,0,0,0,0,1.7603,0,5.81596,0.82336,0.00365,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4683.91,1.83802,0.29268,0.46418,0.85268,0.00258,0,0.86051,0.65791,0.72819,0.40024,0,0,0,0,1.7577,0,5.84238,0.82235,0.00364,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
