epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,10244,2.16014,0.49287,0.70424,1.22562,0.00376,0.05593,0.79392,0.5306,0.6082,0.31596,0,0,0,0,1.94221,0,4.17047,1.07655,0.00486,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,10671.8,2.16612,0.50496,0.71009,1.22504,0.00378,0.05954,0.79607,0.53679,0.61145,0.31913,0,0,0,0,1.93765,0,4.17497,1.05038,0.00488,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,11095.5,2.15492,0.4842,0.70399,1.21343,0.00374,0.05331,0.79242,0.54101,0.61569,0.31957,0,0,0,0,1.94097,0,4.16589,1.03529,0.00486,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,11524.4,2.12937,0.48851,0.69094,1.19158,0.00368,0.04601,0.80366,0.53989,0.62037,0.32595,0,0,0,0,1.92208,0,4.17096,1.03809,0.00479,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11953.7,2.14,0.4792,0.69409,1.1924,0.00367,0.03888,0.80132,0.544,0.621,0.32643,0,0,0,0,1.9228,0,4.19164,1.02761,0.00478,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,12379.1,2.13821,0.46695,0.68513,1.19877,0.00367,0.04537,0.79671,0.54857,0.62466,0.32621,0,0,0,0,1.91529,0,4.2387,1.02692,0.00477,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,12799.9,2.12425,0.46815,0.67518,1.18786,0.00365,0.04601,0.79912,0.54553,0.62278,0.32703,0,0,0,0,1.91802,0,4.13113,1.02192,0.00474,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,13227.6,2.13892,0.46278,0.68139,1.18252,0.00364,0.03648,0.8077,0.54768,0.62763,0.32861,0,0,0,0,1.91338,0,4.14831,1.02044,0.00473,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,13658,2.1487,0.46745,0.68517,1.18273,0.00356,0.04292,0.80166,0.55517,0.63141,0.33179,0,0,0,0,1.90581,0,4.15817,1.00884,0.0047,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,14084.2,2.11916,0.46467,0.68074,1.16713,0.00357,0.02841,0.81123,0.55565,0.63653,0.3351,0,0,0,0,1.89532,0,4.32788,1.00829,0.00464,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14512.2,2.10751,0.46594,0.6739,1.1622,0.00355,0.0275,0.80593,0.55576,0.63487,0.33459,0,0,0,0,1.89417,0,4.44221,1.01736,0.00466,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14939.3,2.11017,0.4547,0.67049,1.15827,0.00355,0.02912,0.81199,0.55725,0.63828,0.33758,0,0,0,0,1.88524,0,4.31142,1.00789,0.00463,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15366.2,2.10481,0.45296,0.66224,1.1653,0.00353,0.03081,0.81096,0.55966,0.63974,0.33803,0,0,0,0,1.88617,0,4.45559,0.99943,0.00463,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15793.2,2.0975,0.45974,0.66949,1.14395,0.00354,0.02754,0.81142,0.56034,0.64175,0.33992,0,0,0,0,1.8773,0,4.35194,0.99678,0.0046,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16224,2.10071,0.46079,0.66895,1.13664,0.0035,0.02536,0.81109,0.55916,0.64162,0.34034,0,0,0,0,1.88357,0,4.37403,0.98753,0.00461,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16650.4,2.097,0.43868,0.66773,1.14926,0.0035,0.02204,0.812,0.56319,0.64438,0.34125,0,0,0,0,1.87811,0,4.4131,0.98806,0.0046,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,17076.8,2.07551,0.44229,0.66476,1.13634,0.00351,0.02254,0.81411,0.56473,0.64654,0.34369,0,0,0,0,1.87035,0,4.46313,0.98312,0.00457,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17503.2,2.07948,0.43951,0.66028,1.1294,0.00347,0.01958,0.8199,0.56687,0.65075,0.34618,0,0,0,0,1.8626,0,4.44212,0.97963,0.00454,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17927,2.08792,0.4384,0.65128,1.1415,0.00348,0.02134,0.81913,0.56578,0.65002,0.34618,0,0,0,0,1.86178,0,4.52529,0.97718,0.00455,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18354.5,2.07355,0.43228,0.65496,1.12984,0.00348,0.01632,0.82098,0.56694,0.65034,0.34601,0,0,0,0,1.86747,0,4.52284,0.97625,0.00456,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18782.6,2.06346,0.43099,0.65763,1.11746,0.00344,0.01886,0.82177,0.56936,0.65308,0.34755,0,0,0,0,1.86323,0,4.60115,0.9728,0.00453,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,19217.1,2.07462,0.44089,0.64963,1.12578,0.00348,0.02183,0.82421,0.57094,0.65524,0.34872,0,0,0,0,1.85901,0,4.46804,0.96732,0.00452,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19642.4,2.05515,0.42978,0.64674,1.11164,0.00343,0.01315,0.82031,0.57293,0.65544,0.34973,0,0,0,0,1.85656,0,4.57236,0.96394,0.00452,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,20067.2,2.05168,0.42578,0.63309,1.09975,0.00344,0.01463,0.82094,0.57155,0.6548,0.34982,0,0,0,0,1.85353,0,4.7281,0.96461,0.00451,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20493.6,2.05315,0.42459,0.65133,1.10676,0.00341,0.01842,0.8228,0.5748,0.65807,0.35124,0,0,0,0,1.85277,0,4.65936,0.96128,0.00452,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20923.6,2.06475,0.42831,0.63779,1.10969,0.00337,0.02518,0.82208,0.57644,0.65941,0.35315,0,0,0,0,1.84358,0,4.63644,0.95699,0.00446,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,21359.6,2.06141,0.42514,0.64275,1.10776,0.00339,0.01596,0.8209,0.57858,0.66019,0.3535,0,0,0,0,1.84229,0,4.71402,0.95701,0.00447,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21783.8,2.06636,0.4206,0.64485,1.10835,0.00336,0.01668,0.82825,0.57691,0.66273,0.3549,0,0,0,0,1.84216,0,4.66466,0.95725,0.00446,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,22209.9,2.03213,0.41135,0.62327,1.09152,0.00337,0.01176,0.82414,0.57933,0.66409,0.35585,0,0,0,0,1.83683,0,4.70963,0.95508,0.00445,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22637.5,2.03407,0.4059,0.62963,1.09665,0.00339,0.01141,0.82491,0.57997,0.66471,0.35647,0,0,0,0,1.83885,0,4.74846,0.95155,0.00446,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,23072.6,2.03864,0.41242,0.62161,1.09091,0.00338,0.01417,0.82983,0.5784,0.66392,0.35623,0,0,0,0,1.83819,0,4.73257,0.9528,0.00446,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,23500.7,2.03182,0.41771,0.62897,1.08705,0.00336,0.01147,0.82636,0.57938,0.66473,0.3574,0,0,0,0,1.83493,0,4.73933,0.94877,0.00444,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23925.3,2.05052,0.41269,0.61709,1.09688,0.00331,0.00971,0.83078,0.5778,0.66538,0.35747,0,0,0,0,1.83343,0,4.81314,0.94852,0.00444,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,24350.2,2.02472,0.40242,0.61834,1.08308,0.00336,0.00709,0.83023,0.57815,0.66541,0.35829,0,0,0,0,1.83304,0,4.85777,0.9448,0.00444,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24774.5,2.02925,0.41397,0.61173,1.08509,0.00335,0.00671,0.82769,0.58183,0.66609,0.35916,0,0,0,0,1.82925,0,4.92383,0.94721,0.00442,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,25204.1,2.00723,0.39053,0.61198,1.07341,0.00335,0.00785,0.8275,0.58198,0.667,0.3596,0,0,0,0,1.82857,0,4.90665,0.94721,0.00441,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,25631.4,2.01125,0.41064,0.61267,1.06713,0.00332,0.005,0.83232,0.58102,0.66758,0.36103,0,0,0,0,1.82761,0,4.95053,0.94155,0.00441,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,26056.6,2.0084,0.4031,0.61805,1.06815,0.00331,0.00649,0.8328,0.58305,0.66887,0.36104,0,0,0,0,1.82609,0,4.97228,0.93975,0.0044,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
