epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,10985.1,2.07808,0.48157,0.67732,1.12966,0.00353,0.04455,0.80185,0.55574,0.6337,0.33428,0,0,0,0,1.89252,0,4.37679,0.97993,0.00465,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,11448.9,2.1042,0.46602,0.66872,1.14663,0.00351,0.0536,0.80885,0.56056,0.6389,0.33879,0,0,0,0,1.87791,0,4.42936,0.97884,0.00461,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,11927.8,2.08432,0.46537,0.66927,1.1221,0.00348,0.03963,0.81221,0.56099,0.64099,0.34054,0,0,0,0,1.87192,0,4.3521,0.97434,0.0046,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,12354.5,2.07135,0.45232,0.65579,1.12196,0.00352,0.0512,0.81403,0.55485,0.63972,0.33971,0,0,0,0,1.87575,0,4.09661,0.98149,0.00461,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,12817,2.06964,0.45512,0.65894,1.12279,0.00346,0.03741,0.81378,0.56217,0.64373,0.34334,0,0,0,0,1.86557,0,4.16565,0.9684,0.00456,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,13243.7,2.07135,0.44974,0.65615,1.11702,0.00346,0.0326,0.81651,0.56087,0.64485,0.34468,0,0,0,0,1.86299,0,4.38393,0.9718,0.00455,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,13698.9,2.07597,0.4474,0.64799,1.11331,0.00338,0.03152,0.81166,0.56629,0.64628,0.34508,0,0,0,0,1.85329,0,4.58844,0.96137,0.00452,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,14131.5,2.05484,0.45069,0.65828,1.10074,0.00347,0.03072,0.82077,0.56543,0.65085,0.34855,0,0,0,0,1.84882,0,4.39061,0.94858,0.00451,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,14559.7,2.04902,0.44512,0.6475,1.09833,0.00343,0.02306,0.82581,0.56547,0.65173,0.3503,0,0,0,0,1.8452,0,4.42454,0.9526,0.00446,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,14985.6,2.04665,0.4375,0.63689,1.0963,0.0034,0.02567,0.81877,0.56654,0.65098,0.34853,0,0,0,0,1.85066,0,4.37141,0.95381,0.0045,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,15424.7,2.04662,0.4465,0.64688,1.08781,0.0034,0.03085,0.81888,0.57112,0.65474,0.35229,0,0,0,0,1.83969,0,4.39933,0.93611,0.00446,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,15886.6,2.04186,0.43834,0.64599,1.08297,0.00339,0.02541,0.82346,0.57268,0.65893,0.35303,0,0,0,0,1.83875,0,4.34856,0.93935,0.00447,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,16320,2.04286,0.44582,0.64742,1.08256,0.00338,0.02544,0.81859,0.57276,0.65599,0.35243,0,0,0,0,1.83715,0,4.57702,0.93172,0.00443,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,16767,2.03129,0.43807,0.6316,1.07306,0.0034,0.01847,0.81819,0.57331,0.65657,0.35444,0,0,0,0,1.83105,0,4.58526,0.93666,0.00444,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,17195.2,2.04894,0.42878,0.63439,1.08247,0.00333,0.02069,0.82097,0.5747,0.65948,0.35552,0,0,0,0,1.8299,0,4.58794,0.9287,0.00443,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,17623.8,2.03196,0.42649,0.62236,1.07479,0.00335,0.0189,0.82657,0.57455,0.66284,0.35651,0,0,0,0,1.82214,0,4.52026,0.93028,0.00439,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,18053.1,2.02567,0.42276,0.62201,1.07286,0.00334,0.01705,0.82607,0.57855,0.66548,0.35962,0,0,0,0,1.81822,0,4.63713,0.924,0.00437,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,18483.7,2.01413,0.4293,0.62862,1.06215,0.00337,0.01635,0.8275,0.57917,0.66573,0.35935,0,0,0,0,1.82414,0,4.86623,0.91487,0.0044,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,18912.1,2.0264,0.41559,0.62591,1.06317,0.00327,0.00952,0.8254,0.58329,0.66723,0.36083,0,0,0,0,1.81439,0,4.72366,0.92088,0.00437,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,19337.5,1.99983,0.41609,0.61921,1.05111,0.00336,0.01659,0.82782,0.57759,0.66472,0.35991,0,0,0,0,1.81915,0,4.69074,0.91553,0.00437,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,19763.5,2.02998,0.41506,0.60751,1.05861,0.00329,0.00879,0.82403,0.58592,0.67041,0.36314,0,0,0,0,1.80994,0,4.82082,0.91391,0.00435,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,20194.1,2.01629,0.4218,0.62337,1.04282,0.00329,0.02013,0.83387,0.58301,0.67079,0.36417,0,0,0,0,1.80618,0,4.70441,0.90943,0.00434,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
